study_stage_mc,study_degree_yesno,study_degree,study_degree_year,study_degree_field,study_degree_field_open,study_stage_open,field_of_study_mc,field_of_study_open,semester,age,sex,uni_current,uni_bachelor,emp_experience,exp_specific,prereg_where,specific_qrps_teaching,rc_teaching,rc_teaching_specific,interest,importance,felt_information,software1,nosi,nosi_events_mc,data_ok,comments,orp01,orp02,qrp01,qrp02,qrp03,qrp04,qrp05,qrp06,qrp07,qrp08,qrp09,length,nosi_at_uni,n_projects_total,n_emp.intern,n_project,n_thesis.bsc,n_thesis.msc,n_other,id
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,21,female,NA,NA,Yes,"1, 2, 3",6,"1, 3, 4, 5, 6, 7, 8",Did hear of RC,"1, 4, 5, 6, 11, 14",3,5,4,R,No,No,1,NA,2,6,6,"1, 2",6,6,6,6,6,6,6,285s (~4.75 minutes),No,3,1,1,1,0,0,436
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,21,male,NA,NA,Yes,"1, 3",6,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",Did hear of RC,"11, 14",4,3,3,R,No,No,1,"Ich habe den Eindruck, der Begriff Replikationskrise wird zunehmend zu einem inhaltsleeren Schlagwort. Sicherlich ist es gut, Studien zu registrieren, alle Daten zu berichten und einmal gemachte Vorhersagen beizubehalten, aber diese Vorgehensweisen bekommen fast schon einen dogmatischen Charakter, wenn seminal papers wie von Ioannidis (2005) herangezogen werden. Was zu wenig beachtet wird, sind kritische Gegenstimmen. Ich sehe die Gefahr, dass eine Studie, deren Hypothesen noch so diffus theoretisch fundiert sind, deren Schlüsse aus empirischen Daten noch so hanebüchen sind und deren interne Validität mehr als fragwürdig sind, den Vorzug bekommen vor einer solchen Untersuchung, die theoretisch fundiert ist und die sich eines cleveren methodischen Designs bedient, nur weil im letzteren Fall nicht präregistriert wurde oder die Stichprobengröße nicht a priori bestimmt wurde oder die Studie underpowered ist. Alle diese Maßnahmen wirken für mich wie Bulletpoints auf den bei uns so beliebten Powerpointfolien, die wir mal auswendig lernen mussten und, die jetzt mantraartig wiedergegeben werden im Glauben, dabei handele es sich um die einzige Möglichkeit, Wissenschaft zu verbessern. Was wir vergessen ist, dass das was unsere Wissenschaft ausmacht, mehr ist als eine preregistration oder eine Poweranalyse.  Wir sind noch lange keine guten Wissenschaftler, wenn wir alle diese Richtlinien befolgen.","1, 3",6,6,6,6,6,6,6,6,6,6,1132s (~18.87 minutes),No,2,1,0,1,0,0,437
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,20,female,NA,NA,Yes,1,6,"2, 4, 5, 6, 8",Did hear of RC,"1, 6, 11, 14",3,4,4,R,No,No,1,NA,1,6,6,6,6,6,6,6,6,6,6,6075s (~1.69 hours),No,1,1,0,0,0,0,438
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,22,female,Ludwig-Maximilians-Universität München,NA,Yes,1,2,10,Did hear of RC,11,3,5,4,R,Yes,No,1,NA,1,1,6,6,6,6,6,6,6,6,6,311s (~5.18 minutes),Yes,1,1,0,0,0,0,439
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,21,female,Westfälische Wilhelms-Universität Münster,NA,Yes,"1, 3",1,"1, 2, 3, 5, 8",Did not hear of RC,NA,4,5,5,R,Not Sure,No,1,NA,6,"1, 3",6,1,6,6,6,6,6,6,6,544s (~9.07 minutes),Yes,2,1,0,1,0,0,440
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,male,Ludwig-Maximilians-Universität München,NA,Yes,1,"1, 3","1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"3, 11, 14",5,5,5,R,Yes,Yes,1,NA,1,1,6,6,6,6,6,6,6,6,6,263s (~4.38 minutes),Yes,1,1,0,0,0,0,441
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,24,female,Universität Osnabrück,Universität Hamburg,Yes,"1, 2, 3",1,10,Did not hear of RC,NA,5,5,1,SPSS und R,No,No,1,NA,"1, 2, 3","1, 2, 3","1, 2","1, 2",6,3,2,"1, 2","1, 2","1, 2",6,462s (~7.7 minutes),No,3,1,1,1,0,0,442
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,19,female,Ludwig-Maximilians-Universität München,NA,No,NA,NA,"4, 7, 8, 9",Did not hear of RC,NA,4,5,1,R,Not Sure,Not Sure,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575s (~9.58 minutes),Yes,0,NA,NA,NA,NA,NA,443
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,21,female,Ludwig-Maximilians-Universität München,NA,Yes,1,3,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"3, 11, 14",5,5,2,R,Yes,Yes,1,NA,1,1,6,6,6,6,6,6,6,6,6,302s (~5.03 minutes),Yes,1,1,0,0,0,0,444
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,19,female,NA,NA,Yes,1,6,"2, 3, 5, 7, 8",Did hear of RC,"1, 6, 11",4,5,4,R,Not Sure,No,1,NA,6,6,6,6,6,6,6,6,6,6,6,423s (~7.05 minutes),No,1,1,0,0,0,0,445
I don't study (any more),1,B.Sc.,2,Psychology,NA,NA,NA,NA,NA,23,female,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,Yes,"1, 3, 5","1, 3","2, 3, 5, 6, 9",Did hear of RC,"1, 11",5,5,5,"R,SPSS,JASP",Yes,Yes,1,NA,1,1,"3, 5",5,6,6,2,2,5,2,6,1857s (~30.95 minutes),Yes,3,1,0,1,0,1,446
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,8,23,female,Ludwig-Maximilians-Universität München,NA,Yes,"1, 3",6,10,Did not hear of RC,NA,5,5,5,"SPSS,R",No,No,1,"Ich interessiere mich stark für Open science und kenne mich auch dementsprechend aus. Nicht, weil es an der Uni gelehrt wird, sondern weil ich mich im Rahmen meiner Bachelorarbeit damit beschäftige. Ich finde den Themenkomplex an sich sehr relevant und wichtig!!",3,6,6,6,6,6,6,6,6,6,6,675s (~11.25 minutes),Yes,2,1,0,1,0,0,447
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,8,25,male,Ludwig-Maximilians-Universität München,NA,Yes,"1, 2, 3, 5","1, 3","1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"4, 11, 15",5,4,4,"R,SPSS",Yes,Yes,1,"JASP habe ich selbst auch verwendet (im Empra)
SPSS war es in meinem Startsemester noch, der Jahrgang nach mir lernt nur noch R","1, 2, 3",1,"1, 2","1, 2",6,6,6,"1, 2",1,6,6,1347s (~22.45 minutes),Yes,4,1,1,1,0,1,448
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,22,female,Ludwig-Maximilians-Universität München,NA,No,NA,NA,11,Did hear of RC,6,4,4,3,R,Yes,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23789s (~6.61 hours),Yes,0,NA,NA,NA,NA,NA,449
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,28,female,Ludwig-Maximilians-Universität München,NA,Yes,"1, 5",1,"1, 2, 3, 4, 5, 6, 7, 8",Did hear of RC,11,5,5,5,R,Not Sure,Not Sure,1,NA,1,1,6,6,5,6,6,6,6,6,6,180815s (~2.09 days),Yes,2,1,0,0,0,1,450
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,28,male,Universität Hildesheim,NA,Yes,"1, 5",1,"1, 2, 3, 4, 5, 7",Did hear of RC,"11, 14",5,5,3,SPSS,No,No,1,NA,1,1,1,6,6,6,6,6,6,6,6,419s (~6.98 minutes),No,2,1,0,0,0,1,451
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,19,female,Ludwig-Maximilians-Universität München,NA,Yes,1,2,"1, 2, 3, 8, 9",Did hear of RC,"1, 3, 7, 11",4,5,5,R,Not Sure,No,1,NA,1,1,1,6,6,1,6,1,6,6,6,309s (~5.15 minutes),Yes,1,1,0,0,0,0,452
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,28,male,Universität Hildesheim,Universität Osnabrück,Yes,"1, 2, 3",6,10,Did not hear of RC,NA,5,5,3,SPSS,Yes,No,1,NA,6,6,6,"2, 3",6,6,6,6,6,3,6,702s (~11.7 minutes),No,3,1,1,1,0,0,453
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,22,female,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,Yes,"1, 2, 3",6,"1, 2, 3, 4, 6, 7, 8, 9",Did hear of RC,"4, 11, 14",4,4,3,"R,SPSS",No,No,1,NA,1,6,"1, 2, 3","2, 3",6,"1, 2, 3",6,6,6,"2, 3",6,460s (~7.67 minutes),Yes,3,1,1,1,0,0,454
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,19,female,Justus-Liebig-Universität Gießen,NA,Yes,"1, 2",6,"2, 3, 8",Did hear of RC,14,3,4,2,"SPSS,Excel",No,No,1,NA,6,6,"1, 2","1, 5",6,1,1,1,"1, 2",2,6,88103s (~1.02 days),No,2,1,1,0,0,0,455
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,male,Ludwig-Maximilians-Universität München,NA,Yes,"1, 5","1, 3","1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,11,5,5,3,R,Yes,No,1,NA,1,1,6,6,6,6,6,6,6,6,6,300s (~5 minutes),Yes,2,1,0,0,0,1,456
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,female,Universität Bielefeld,NA,Yes,1,6,"2, 6",Did not hear of RC,NA,3,4,1,R,No,No,1,NA,1,6,6,6,6,1,6,1,6,6,6,806s (~13.43 minutes),No,1,1,0,0,0,0,457
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,19,female,Ludwig-Maximilians-Universität München,NA,No,NA,NA,11,Did not hear of RC,NA,4,5,1,"R,Excel",No,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344s (~5.73 minutes),Yes,0,NA,NA,NA,NA,NA,458
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,20,female,Universität Regensburg,NA,Yes,"1, 2, 5",6,"1, 2, 3, 4, 5, 6, 7",Did hear of RC,"1, 15",4,5,3,SPSS,No,No,1,NA,6,6,6,6,6,6,6,6,6,6,6,348s (~5.8 minutes),No,3,1,1,0,0,1,459
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,4,21,male,Johannes Gutenberg-Universität Mainz,NA,Yes,"1, 2",1,10,Did hear of RC,"3, 5",5,5,2,SPSS,No,No,1,NA,6,"1, 2",6,6,6,6,6,6,6,6,6,319s (~5.32 minutes),No,2,1,1,0,0,0,460
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,21,female,Universität Koblenz-Landau,NA,No,NA,NA,"2, 11",Did hear of RC,"1, 3",4,5,2,-----,No,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193s (~3.22 minutes),Yes,0,NA,NA,NA,NA,NA,461
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,21,female,Otto-Friedrich-Universität Bamberg,NA,Yes,1,6,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"1, 5, 14",5,5,4,"SPSS,R",Yes,Not Sure,1,"Das Empra hat gerade erst begonnen, wir sind noch nicht bei der Datenanalyse angekommen, weshalb die Aussage, welche Praktiken angewendet wurden noch nicht ale abschließend betrachtet werden kann.",6,6,6,1,6,6,6,6,6,6,6,570s (~9.5 minutes),No,1,1,0,0,0,0,462
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,23,female,Justus-Liebig-Universität Gießen,Justus-Liebig-Universität Gießen,Yes,"1, 2, 3, 5",6,11,Did hear of RC,"4, 5",2,3,1,SPSS,No,No,1,NA,"3, 5",6,"1, 3","1, 2, 5","1, 5","1, 2, 3, 5",6,5,6,6,5,435s (~7.25 minutes),No,4,1,1,1,0,1,463
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,23,female,Justus-Liebig-Universität Gießen,Justus-Liebig-Universität Gießen,Yes,"1, 2, 3",6,"1, 2, 3, 7, 8, 9",Did hear of RC,"4, 5",3,4,2,SPSS,No,No,1,NA,6,6,"1, 2, 3",2,6,"1, 2, 3",2,"1, 2, 3","1, 2, 3",6,6,383s (~6.38 minutes),No,3,1,1,1,0,0,464
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,5,25,male,NA,NA,Yes,"1, 3, 4, 5",6,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"1, 11, 15",5,5,3,"R,SPSS",Not Sure,No,1,NA,"1, 3, 4",6,6,6,6,6,6,6,6,6,6,566s (~9.43 minutes),No,4,1,0,1,1,1,465
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,7,29,male,Universität Koblenz-Landau,NA,Yes,1,2,"1, 2, 4, 6, 7, 8",Did hear of RC,"11, 14",4,5,3,R,Not Sure,Not Sure,1,NA,1,1,6,6,6,6,1,6,6,6,6,477s (~7.95 minutes),Yes,1,1,0,0,0,0,466
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,23,male,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,Yes,"1, 3",6,"1, 2, 3, 4, 5, 6, 7, 8",Did hear of RC,"1, 4, 11, 15",5,5,3,"SPSS,R",Yes,Not Sure,1,"An der LMU wird recht offen über die Replikationskrise und ORPs gesprochen, habe ich das Gefühl. Was mich aber leider etwas unzufrieden stimmt, ist die Vermittlung von konkreten Abläufen in der tatsächlichen Forschung. Bei vielen Projekten gilt es zunächst mal eine grobe Idee zu entwickeln, um dann so schnell wie möglich mit der Erhebung von Versuchspersonen zu beginnen (selten werden Poweranalysen durchgeführt, es gilt allgemein einfach so viele Probanden zu erheben wie möglich). Konkrete Fragestellungen ergeben sich meist erst im Verlauf, was oftmals entweder zu einer Umstellung der Versuchsparadigmen oder zur Erhebung von vielen Zusatzvariablen führt, die in der letztendlichen Auswertung keine Rolle mehr spielen. Ich weiß, nicht alle Komplikationen können vorhergesehen werden, aber ich würde mir wünschen, dass der Vermittlung einer ausführlichen Studienplanung sowohl auf Theorieebene als auch in der praktischen Durchführung mehr Platz eingeräumt werden würde.",6,6,1,1,6,6,6,3,6,6,6,2309s (~38.48 minutes),Yes,2,1,0,1,0,0,467
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,24,female,Otto-Friedrich-Universität Bamberg,Otto-Friedrich-Universität Bamberg,Yes,"1, 2, 3, 5",6,"3, 4, 7, 8",Did hear of RC,"3, 4, 11",5,5,3,"SPSS,R",No,No,1,NA,6,6,"1, 2","1, 2, 3",6,6,3,6,6,6,6,730s (~12.17 minutes),No,4,1,1,1,0,1,468
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,21,female,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,Yes,"1, 3",6,"1, 2, 3, 4, 6, 7, 8",Did hear of RC,"1, 4, 5, 11, 14",3,5,3,"R,SPSS",No,No,1,NA,"1, 3",6,"1, 5",6,6,"1, 5",6,6,6,6,6,2134s (~35.57 minutes),Yes,2,1,0,1,0,0,469
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,22,female,NA,NA,Yes,"1, 2, 3",6,"1, 2, 3, 4, 5, 6, 7, 8",Did hear of RC,11,5,5,4,"R,SPSS",No,No,1,NA,"1, 2, 3",6,"1, 3","1, 2",6,6,6,1,"1, 2",6,6,568s (~9.47 minutes),No,3,1,1,1,0,0,470
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,21,female,NA,NA,Yes,"1, 3",6,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,11,2,5,2,R,Not Sure,No,1,NA,"1, 3",6,"1, 3",6,3,3,6,3,3,6,6,827s (~13.78 minutes),No,2,1,0,1,0,0,471
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,22,female,NA,NA,Yes,"1, 2, 3",5,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"1, 6, 11, 14",4,5,4,R,No,No,1,NA,"1, 2, 3",1,6,6,6,6,6,2,6,6,6,342s (~5.7 minutes),No,3,1,1,1,0,0,472
I don't study (any more),1,B.Sc.,1,Psychology,NA,NA,NA,NA,NA,24,no answer,NA,Otto-Friedrich-Universität Bamberg,Yes,"1, 3, 5",1,"1, 2, 3, 4, 5, 6, 7",Did hear of RC,"11, 14, 15",4,4,3,R,Yes,Yes,1,NA,"3, 5",5,6,3,6,6,3,6,6,6,6,252s (~4.2 minutes),No,3,1,0,1,0,1,473
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,18,female,Ludwig-Maximilians-Universität München,NA,No,NA,NA,"2, 3, 6, 8, 9",Did not hear of RC,NA,4,5,2,"R,Excel",Not Sure,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261s (~4.35 minutes),Yes,0,NA,NA,NA,NA,NA,474
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,22,female,NA,NA,Yes,"1, 3, 5",1,"1, 2, 3, 5, 6, 8",Did hear of RC,"1, 6, 11",3,5,4,"SPSS,R",No,No,1,NA,"1, 3, 5",1,6,6,6,6,6,6,6,6,6,245s (~4.08 minutes),No,3,1,0,1,0,1,475
Bachelor,NA,NA,NA,NA,NA,NA,Other,Erziehungswissenschaft,5,24,male,Universität Hildesheim,NA,Yes,"2, 5",6,10,Did not hear of RC,NA,5,5,3,SPSS,No,No,1,NA,6,6,2,2,6,6,6,6,2,2,2,314s (~5.23 minutes),No,2,0,1,0,0,1,476
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,18,female,Ludwig-Maximilians-Universität München,NA,No,NA,NA,8,Did hear of RC,11,3,4,2,R,No,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442s (~7.37 minutes),Yes,0,NA,NA,NA,NA,NA,477
Master,NA,NA,NA,NA,NA,NA,Other,Erwachsenenbildung/ Weiterbildung,3,23,female,Otto-Friedrich-Universität Bamberg,Otto-Friedrich-Universität Bamberg,Yes,"2, 5",1,11,Did not hear of RC,NA,3,4,1,"SPSS,R,Stata",No,No,1,NA,6,"2, 5","2, 5","2, 5",6,5,5,6,"2, 5",5,6,570s (~9.5 minutes),No,2,0,1,0,0,1,478
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,21,female,Justus-Liebig-Universität Gießen,NA,Yes,1,6,"2, 3, 4, 7, 8, 9",Did hear of RC,"4, 5, 14",5,5,3,SPSS,No,No,1,NA,6,6,1,6,5,1,"1, 2",5,1,6,6,469s (~7.82 minutes),No,1,1,0,0,0,0,479
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,21,female,Justus-Liebig-Universität Gießen,NA,Yes,"1, 2",6,"1, 3, 4, 6, 7, 8",Did hear of RC,"4, 5, 12, 14",3,5,2,SPSS,No,No,1,NA,6,6,"1, 2",6,2,"1, 2",1,6,1,6,6,1170s (~19.5 minutes),No,2,1,1,0,0,0,480
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,21,female,Justus-Liebig-Universität Gießen,NA,Yes,1,6,"1, 2, 4, 5, 6, 8",Did hear of RC,"4, 5, 7, 11, 12, 14",4,5,4,"SPSS,SAS",No,No,1,NA,6,6,6,1,6,6,6,6,6,6,6,390s (~6.5 minutes),No,1,1,0,0,0,0,481
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,19,female,Justus-Liebig-Universität Gießen,NA,Yes,"1, 2",6,"1, 3, 7, 8",Did hear of RC,"4, 14",3,4,2,"SPSS,Excel",No,No,1,NA,6,6,1,1,6,"1, 2",6,6,"1, 2",6,6,300s (~5 minutes),No,2,1,1,0,0,0,482
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,24,female,Justus-Liebig-Universität Gießen,NA,Yes,"1, 2",6,"1, 2, 3, 4, 5, 6, 7, 8, 9",I don't know,14,4,5,2,"SPSS,Excel",No,No,1,NA,6,6,1,1,6,"1, 2",6,6,6,6,6,1729s (~28.82 minutes),No,2,1,1,0,0,0,483
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,female,Justus-Liebig-Universität Gießen,NA,No,NA,NA,4,Did not hear of RC,NA,1,4,1,SPSS,No,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182s (~3.03 minutes),No,0,NA,NA,NA,NA,NA,484
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,21,female,Universität Osnabrück,NA,Yes,"1, 3",6,"4, 5, 8",Did hear of RC,1,4,4,1,"SPSS,R",No,No,1,NA,6,6,6,1,6,6,6,6,6,6,6,346s (~5.77 minutes),No,2,1,0,1,0,0,485
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,21,female,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,Yes,"1, 3, 5",1,"2, 3, 6, 7, 8",Did hear of RC,"4, 5, 9, 11",4,5,2,R,No,No,1,NA,"1, 3, 5",5,1,5,6,6,6,"1, 3, 5",6,6,6,16236s (~4.51 hours),Yes,3,1,0,1,0,1,486
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,22,female,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,Yes,"1, 3",6,"1, 2, 3, 4, 5, 6, 7, 8",Did hear of RC,"4, 6, 11, 15",5,5,2,R,No,No,1,NA,1,6,6,3,1,1,1,6,6,6,6,8010s (~2.23 hours),Yes,2,1,0,1,0,0,487
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,21,female,Universität Hildesheim,NA,Yes,2,1,"1, 2, 5, 7, 8, 9",Did not hear of RC,NA,4,5,2,SPSS,No,No,1,"Zur Frage, ob es eine Open Science - Initiative an meiner Universität gibt: Ich weiß, dass sich einige Studierende meiner Universität in eurer Arbeitsgruppe engagieren. Ich kenne aber keine Initiative, die direkt von der Uni aus kommt.

Ich habe mich glaube ein- oder zweimal verklickt. Wenn ""Projektarbeit"" und ""keine davon"" angeklickt ist, dann meine ich ""Projektarbeit"" - tut mir leid. Leider konnte ich nicht auf die Seite zurückgehen.",2,NA,6,6,6,6,2,6,6,6,6,773s (~12.88 minutes),No,1,0,1,0,0,0,488
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,26,female,Justus-Liebig-Universität Gießen,NA,Yes,"1, 2",6,"1, 2, 3, 4, 6",Did hear of RC,"1, 4, 5, 12, 14",3,5,2,"SPSS,Excel",No,No,1,Nicht nur Infos / inhaltliche Updates über Facebook teilen!!,6,6,1,1,6,1,6,5,1,6,6,725s (~12.08 minutes),No,2,1,1,0,0,0,489
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,2,20,female,Johannes Gutenberg-Universität Mainz,NA,No,NA,NA,"1, 2, 3, 4, 6, 7, 8",Did hear of RC,"1, 5, 11",4,4,4,"Excel,SPSS",Not Sure,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217s (~3.62 minutes),No,0,NA,NA,NA,NA,NA,490
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,7,22,female,Ludwig-Maximilians-Universität München,NA,Yes,"1, 2, 3",1,"1, 2, 3, 4, 5, 6, 7, 8",Did hear of RC,"1, 4, 9, 11",2,4,3,"R,SPSS",Not Sure,Not Sure,1,NA,"1, 2",3,6,"1, 3",6,6,3,6,6,6,6,313s (~5.22 minutes),Yes,3,1,1,1,0,0,491
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,5,26,female,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen,Yes,"1, 2, 3, 4, 5",3,"2, 6, 11",I don't know,"14, 15",5,5,4,"R,Excel",Yes,Yes,1,NA,6,4,5,6,5,5,"1, 2, 3, 5",6,6,6,6,341s (~5.68 minutes),Yes,5,1,1,1,1,1,492
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,21,female,Universität Hildesheim,NA,Yes,5,6,"1, 2, 4, 5, 6, 7, 8, 9",Did hear of RC,"6, 11, 14",4,5,3,SPSS,Yes,Yes,1,NA,5,6,6,6,5,6,6,6,6,6,6,708s (~11.8 minutes),No,1,0,0,0,0,1,493
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,female,Universität Hildesheim,NA,No,NA,NA,"1, 2, 3, 4, 7, 8",Did hear of RC,"6, 7, 11",4,5,3,SPSS,Not Sure,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361s (~6.02 minutes),No,0,NA,NA,NA,NA,NA,494
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,21,female,Universität Hildesheim,NA,No,NA,NA,"1, 2, 3, 4, 5, 6, 7, 8",Did hear of RC,6,5,3,2,SPSS,No,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237s (~3.95 minutes),No,0,NA,NA,NA,NA,NA,495
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,2,20,female,Universität Hildesheim,NA,No,NA,NA,10,Did not hear of RC,NA,4,4,3,SPSS,No,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187s (~3.12 minutes),No,0,NA,NA,NA,NA,NA,496
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,21,female,Ruhr-Universität Bochum,NA,Yes,1,6,"1, 2, 4, 5, 6, 7, 8, 9",Did hear of RC,11,4,5,4,"R,SPSS",Not Sure,Yes,1,NA,6,6,6,6,6,6,6,6,6,6,6,604s (~10.07 minutes),No,1,1,0,0,0,0,497
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,27,male,Universität Hildesheim,Universität Hildesheim,Yes,"1, 2, 3, 4, 5",3,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"1, 14",5,5,5,SPSS,No,Yes,1,Gut,"2, 3, 4, 5",NA,"1, 2","1, 2",NA,6,"1, 2",2,2,6,6,434s (~7.23 minutes),No,5,1,1,1,1,1,498
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,18,female,Universität Hildesheim,NA,No,NA,NA,"2, 4, 6, 8, 9",I don't know,"1, 4, 6",3,4,3,SPSS,Not Sure,Not Sure,1,"Ich bin erst im 1. Semester, heißt, dass noch einige offene Fragen im Laufe des Studiums geklärt werden und somit die Wahrscheinlichkeit, dass Themen zu Open Science offenstehen, ziemlich hoch ist.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,477s (~7.95 minutes),No,0,NA,NA,NA,NA,NA,499
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,19,female,Universität Hildesheim,NA,No,NA,NA,11,I don't know,15,4,4,1,SPSS,No,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214s (~3.57 minutes),No,0,NA,NA,NA,NA,NA,500
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,25,female,Ludwig-Maximilians-Universität München,Universität Hildesheim,Yes,"1, 2",3,"2, 5, 6",Did not hear of RC,NA,5,5,2,"R,SPSS",Not Sure,No,1,NA,"1, 2",2,6,6,6,6,6,1,6,6,6,439s (~7.32 minutes),Yes,2,1,1,0,0,0,501
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,22,female,Universität Hildesheim,NA,Yes,"2, 5",1,"1, 2, 3, 4, 7, 8, 9",Did not hear of RC,NA,4,5,2,SPSS,No,No,1,NA,2,"2, 5",6,6,6,6,6,6,6,6,6,535s (~8.92 minutes),No,2,0,1,0,0,1,502
