session,created,modified,ended,expired,check,study_stage_mc,study_degree_yesno,study_degree,study_degree_year,study_degree_field,study_degree_field_open,study_stage_open,field_of_study_mc,field_of_study_open,semester,age,sex,uni_current,uni_bachelor,emp_experience,exp_specific,prereg_where,specific_qrps_teaching,rc_teaching,rc_teaching_specific,interest,importance,felt_information,software1,nosi,nosi_events_mc,data_ok,comments,id,illog_answ_subj,orp01,orp02,qrp01,qrp02,qrp03,qrp04,qrp05,qrp06,qrp07,qrp08,qrp09,nosi_at_uni,n_projects,n_emp.intern,n_project,n_thesis.bsc,n_thesis.msc,n_other
XJPo5YJ_iwR4YWDSTkIOG_49_PjrcG-WSG06fPVCSGXCb6NgOmTJpPWho5cJuJxW,2018-11-28T19:19:39Z,2018-11-28T19:27:50Z,2018-11-28T19:27:50Z,NA,1,I don't study (any more),1,M.Sc.,2,Psychology,NA,NA,NA,NA,NA,25,male,Ruhr-Universität Bochum,NA,Yes,"1, 2, 3, 4, 5",1,"1, 2, 3, 4, 5, 6, 7, 8",yes,"1, 3, 4, 11",5,5,4,"R,SPSS",Not Sure,Yes,1,NA,263,FALSE,4,4,"1, 3","1, 2, 3, 5",6,6,6,6,6,6,6,No,5,1,1,1,1,1
jtsUCKEuLu5PF_z6UKNk6PjdpS5CZ05s4NWdH_bN9JzXHn2BXju-87kkmGvrvoEY,2018-11-28T19:27:54Z,2018-12-01T12:46:06Z,2018-12-01T12:46:06Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,female,Universität Hildesheim,NA,No,NA,NA,"2, 3, 7, 8, 9",yes,"6, 11",4,5,3,SPSS,No,No,1,NA,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA
5RivAC74K8KPinzVlf8oZKsmGAHP6HAz1AiQ7ubV54YvAooKgAkmdzqVExv2urTA,2018-11-28T20:19:01Z,2018-11-28T20:27:02Z,2018-11-28T20:27:02Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,21,female,Universität Bielefeld,NA,Yes,1,6,"2, 3, 4, 5, 7, 8",unsure,15,2,4,2,R,No,Yes,1,NA,265,FALSE,6,6,1,1,6,6,6,6,6,6,6,No,1,1,0,0,0,0
qzqo7U21LXJ1B1jy0UUR-ckLsksVXpFi80T0t52c3ci_blqW922GbeNhokEti8lT,2018-11-28T20:52:05Z,2018-11-28T20:54:50Z,2018-11-28T20:54:50Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,22,female,Universität Hildesheim,NA,No,NA,NA,"1, 4, 5, 6",no,NA,3,4,1,SPSS,No,No,1,NA,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA
zc_XfACias7_Ua7YVDFwD4EkmhgaCxVtjBjPityVcPcJCdl0vCYKru5nNfwTEVAB,2018-11-28T20:52:22Z,2018-11-28T21:04:20Z,2018-11-28T21:04:20Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,20,female,Universität Hildesheim,NA,No,NA,NA,10,no,NA,3,4,1,SPSS,No,No,1,NA,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA
7iEhkzUdCJh7RTzZVa0lhfJp9mTW-0O10hQVy45Zaj0I2d-kRXijdR0c_0VE5QP9,2018-11-28T21:23:37Z,2018-11-28T21:30:55Z,2018-11-28T21:30:55Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,7,22,female,Universität Hildesheim,NA,Yes,"1, 3",6,"2, 4, 8",yes,"6, 11",5,5,1,SPSS,No,Yes,1,NA,268,FALSE,1,6,6,1,6,6,3,6,1,1,6,No,2,1,0,1,0,0
AFaRNDTSv93o_hKY97bLXgdLLey8JCxux9oZ4jlmRGsKZQzC_U0mYUFj17c4IVD-,2018-11-28T21:36:21Z,2018-11-28T21:45:16Z,2018-11-28T21:45:16Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,19,female,Universität Hildesheim,NA,Yes,2,6,"2, 4, 6, 7, 8, 9",yes,14,5,5,3,SPSS,Yes,Yes,1,Eine Open science Bewegung soll an unserer Uni sehr bald gestartet werden :),269,FALSE,6,6,5,6,6,6,6,6,6,6,6,No,1,0,1,0,0,0
XfeY6wXfdaIuxEdmyGXx79VAk9xytOawRziQ1UW1yTBKNVVNNpn12Nq6hGYb_ZHy,2018-11-28T21:59:14Z,2018-11-28T22:09:55Z,2018-11-28T22:09:55Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,2,23,female,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,Yes,1,6,"1, 3, 4, 5, 6, 7, 8",yes,11,4,5,5,"SPSS,Excel",No,Not Sure,1,NA,270,FALSE,1,6,6,1,6,6,6,6,6,6,6,No,1,1,0,0,0,0
4A22huv5nKl2L9wrlPbOiGEMqIjj9JokcSyxH1yMMJjFeKg7W0KOsuaBlPPeumHw,2018-11-28T22:00:36Z,2018-11-28T22:05:16Z,2018-11-28T22:05:16Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,22,female,Universität Hildesheim,NA,Yes,5,6,"1, 2, 3, 4",no,NA,3,5,1,SPSS,No,No,1,NA,271,FALSE,1,6,5,6,6,5,6,1,1,6,1,No,1,0,0,0,0,1
1mY5mVq4z4KL53bDyt9JSoD-iS-3GtMR-hxM2gNegDuW36lSqKbFQ9j5goulxvoK,2018-11-28T22:14:49Z,2018-11-28T22:19:53Z,2018-11-28T22:19:53Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,7,22,male,Universität Hildesheim,NA,Yes,"1, 3, 5",6,"1, 2, 3, 4, 6, 7, 8",yes,"11, 14, 15",4,5,3,SPSS,Not Sure,Yes,1,NA,272,FALSE,"1, 3, 5",5,6,6,6,6,6,1,6,6,6,No,3,1,0,1,0,1
jYIjMj9OSgHiUpEX38cmlgHkTq2YC74JmhvdqPhRK-EtdNNJvWx9Z0LwnBhP4uU8,2018-11-28T22:58:06Z,2018-11-28T23:01:55Z,2018-11-28T23:01:56Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,22,female,Universität Hildesheim,NA,No,NA,NA,"1, 4",yes,11,4,5,2,SPSS,No,No,1,NA,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA
BjFO1_Oxjfo372djoosm0QNejDHKp_OUcTKpQvIAtFuEmGL3tBC81pr3cqJ7tkmd,2018-11-28T23:12:05Z,2018-11-28T23:19:56Z,2018-11-28T23:19:56Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,20,female,Justus-Liebig-Universität Gießen,NA,Yes,1,6,"3, 4, 8, 9",yes,14,5,5,3,"SPSS,Excel,SAS",No,Not Sure,1,NA,274,FALSE,6,6,6,6,6,1,5,6,6,6,6,No,1,1,0,0,0,0
IDHDKyTKsw6NC-tqr_7f1riFdg91pYLjM1JgZk6BZVA6R-pu53Sk3jGkx2lW1hNO,2018-11-28T23:48:35Z,2018-11-28T23:53:37Z,2018-11-28T23:53:37Z,NA,1,I don't study (any more),1,M.Sc.,1,Psychology,NA,NA,NA,NA,NA,24,female,Julius-Maximilians-Universität Würzburg,NA,Yes,"1, 2, 3, 4",6,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",yes,11,5,5,4,"SPSS,Excel",Yes,Yes,1,NA,275,FALSE,6,6,2,6,6,6,6,6,6,6,6,No,4,1,1,1,1,0
P-K1egmtwPstCs692szjIHOCIUExBa62kCWwbc-kQSWzbjNK85TRTBwyXiI6Dmbt,2018-11-28T23:54:40Z,2018-11-29T00:00:15Z,2018-11-29T00:00:15Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,20,female,Julius-Maximilians-Universität Würzburg,NA,No,NA,NA,"1, 4, 6, 7",yes,"11, 14",4,5,3,Excel,Yes,Yes,1,NA,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA
GvtG0tQc_KQhdvXWiV7Zi3K3HjMKYy76pgv92wc8cjhwXazLXF8ixFLWZJQjbNKY,2018-11-29T00:23:11Z,2018-11-29T08:53:39Z,2018-11-29T08:53:39Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,19,female,Universität Hildesheim,NA,Yes,2,3,"2, 3, 5, 7, 8",yes,"6, 11, 14",4,5,5,SPSS,Yes,No,1,NA,277,FALSE,6,2,6,6,6,6,6,6,6,6,6,No,1,0,1,0,0,0
pp6Jvk0rS5If3wqDBGlO7LPbQJ5PUfVT94a48VU5D2GjS-w-_sqcssmvvOFU3Ue5,2018-11-29T08:31:11Z,2018-11-29T10:04:59Z,2018-11-29T10:04:59Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,20,female,Universität Bielefeld,NA,No,NA,NA,11,no,NA,4,3,1,R,No,No,1,NA,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA
0vOVHTtLnGd0wlI2PGGlp06L2wZNnFNnt9m5Gr3mmrUHR8dvXm_sattrqhkGGCVy,2018-11-29T08:31:15Z,2018-11-29T08:35:06Z,2018-11-29T08:35:06Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,18,female,Universität Bielefeld,NA,No,NA,NA,"1, 5, 6, 7",no,NA,4,2,2,R,No,No,1,NA,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA
SH_FDrLaVO3OGG5h1ScioHSSc69ma3O-leUk2-G6aBwGp2kaUAbzdMI3kujHJx1e,2018-11-29T08:31:46Z,2018-11-29T08:39:03Z,2018-11-29T08:39:03Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,18,female,Universität Bielefeld,NA,No,NA,NA,"3, 5",no,NA,3,5,2,R,No,No,1,NA,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA
DizXiLhDKgpBNSEdUa6k9hPNpy5nh0vtlbg6XcO-QGAS4v8hEJ0GZiPS4PAGuiw8,2018-11-29T08:34:10Z,2018-11-29T08:44:02Z,2018-11-29T08:44:02Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,21,female,Westfälische Wilhelms-Universität Münster,NA,Yes,1,2,"2, 3, 4, 6, 7, 8, 9",yes,"4, 5, 6, 7, 11, 14",4,4,2,R,Yes,Not Sure,1,NA,281,FALSE,1,2,1,1,6,1,6,1,6,6,1,Yes,1,1,0,0,0,0
-Dc5JK81ibdF3xrMsvfR5ECdG1muVBJUA9OPewf8aMUuKMDO5o_JlASOyya3a9vv,2018-11-29T09:48:34Z,2018-11-29T09:54:26Z,2018-11-29T09:54:26Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,18,male,Justus-Liebig-Universität Gießen,NA,No,NA,NA,"2, 8",no,NA,3,4,2,"SPSS,Excel",No,No,1,NA,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA
r5EA3gi141qhivD_asCLKhjDXPw2PCWL-PZ1u-BpSUtccK8wEC2g-pTBljVDoHQ3,2018-11-29T10:38:03Z,2018-11-29T10:48:27Z,2018-11-29T10:48:27Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Other,Psychologie in IT,7,21,male,1,NA,Yes,"1, 3",6,"1, 2, 5, 6, 8, 9",yes,"1, 15",4,4,2,"Python,R",No,No,1,Wissenschaftlich Arbeit im Bereich Cognitive Science weicht an vielen Stellen von der klassischen Psychologischen Arbeit ab und ist schwer mit diesem Fragebogen ordentlich abzugrenzen. Vielleicht könnten einzelne Fragen irreführend beantwortet sein. Jedenfalls war es mir wichtig zu berichten dass es an der TU Darmstadt starke Bemühungen gibt neuere Methodologie wie vor allem Bayesianische Statistik anzuwenden.,283,FALSE,6,6,6,1,3,6,6,6,6,6,6,No,2,1,0,1,0,0
4LErUSUWqz9bwwK9eHWef9CU3j-jJqh3WYZtojqQ_JgEbtbEWXOLNtEKHC5aWTyv,2018-11-29T11:18:46Z,2018-11-29T11:25:38Z,2018-11-29T11:25:38Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,4,26,female,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,Yes,"1, 2",6,"2, 3, 6, 9",yes,11,5,5,3,"SPSS,Excel",Yes,Yes,1,"Wirkluch gute und sogar auch informative Umfrage!
Danke für eure Initiative!",284,FALSE,6,6,6,"1, 2",6,6,2,1,6,6,6,No,2,1,1,0,0,0
EVHiI3ATUOYHzuWz86HjCjcU1Ocbsy4Z0CYfVvFfhHMOIBvEinHY9hmE6cWo2CTz,2018-11-29T12:06:45Z,2018-11-29T12:17:09Z,2018-11-29T12:17:09Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,5,24,female,Universität Hildesheim,Universität Hildesheim,Yes,"1, 2, 3, 4, 5",6,"1, 2, 3, 4, 5, 6, 7, 8, 9",yes,11,5,5,4,SPSS,No,No,1,Küsschen an Johannes,285,FALSE,3,6,2,"1, 2",6,1,"1, 2, 5",2,6,6,6,No,5,1,1,1,1,1
qMwxacThSzGHJC3gRlbATfjxaPafibOnOetlabL_hBmxCXJhbo2HwmlTNQFRsAt4,2018-11-29T13:16:09Z,2018-11-29T13:24:42Z,2018-11-29T13:24:42Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,23,female,Universität Hildesheim,Universität Hildesheim,Yes,"1, 3",6,"1, 2, 3, 4, 5, 6, 7, 8, 9",no,NA,2,4,3,SPSS,No,No,1,NA,286,FALSE,1,6,6,6,6,6,6,6,6,6,6,No,2,1,0,1,0,0
bGo2F5uKIS6u5_LAO2aJMXDIbzFcrM90pBU6rCmY_JNPq6rQVdSr-3tT92SJON-w,2018-11-29T14:05:21Z,2018-11-29T14:09:20Z,2018-11-29T14:09:20Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,19,female,Justus-Liebig-Universität Gießen,NA,No,NA,NA,3,yes,14,4,4,2,"SPSS,Excel",Not Sure,No,1,NA,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA
O-BjHdoTN3ayVgheEPSZDdeea65cRYNlZNxiB7K-GUcSRlEFDzo95bg_vq5Q2r8I,2018-11-29T14:10:32Z,2018-11-29T14:22:45Z,2018-11-29T14:22:45Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,7,22,female,Universität Hildesheim,NA,Yes,"2, 3, 5",6,"2, 6, 7, 8, 9",no,NA,4,5,2,SPSS,No,No,1,"Es wird gerade eine Open Science-Initiative an meiner Uni gegründet bzw. ist es der Plan eine zu gründen, aber noch besteht sie nicht. 
Auf der PsyFako Hildesheim gab es Infoveranstaltungen zu Open Science, wenn das als Veranstaltung von meiner Universität gilt, dann muss mein Nein bei der dritten Frage zu einem Ja geändert werden.",288,FALSE,2,6,6,6,"2, 5",6,6,"2, 5",6,6,6,No,3,0,1,1,0,1
AcPVSWUp-9NFlFAk9AtedexYw73m7U4Gej6Fz-EXeNIooHNwnQJttYg-PsVnkBsg,2018-11-29T15:10:23Z,2018-11-29T15:18:35Z,2018-11-29T15:18:35Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,24,male,Otto-Friedrich-Universität Bamberg,Universität Osnabrück,Yes,"1, 3, 5",2,"1, 2, 5, 9",yes,11,4,5,3,"R,SPSS",Yes,Yes,1,NA,289,FALSE,3,4,1,6,1,6,1,3,1,1,6,No,3,1,0,1,0,1
ePeBsLPi9-EnKVjGMmG9baIgRyMwNcAmNIZN4EqYU8v5R7HZ7xKmd-l66FKkU2PY,2018-11-29T15:12:33Z,2018-11-29T15:19:53Z,2018-11-29T15:19:53Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,male,Otto-Friedrich-Universität Bamberg,NA,Yes,1,6,9,unsure,11,3,4,2,"SPSS,R",No,No,1,NA,290,FALSE,6,6,6,6,6,6,6,6,6,6,6,No,1,1,0,0,0,0
Ef4_CvBz4zwXXUremGEzTGuVmgGVmoRtMCZo0cgIhoGswSMNgwOAR_wf76kmisb1,2018-11-29T15:22:55Z,2018-11-29T15:35:17Z,2018-11-29T15:35:17Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,19,male,Otto-Friedrich-Universität Bamberg,NA,Yes,5,6,"1, 8",no,NA,4,4,2,SPSS,No,No,1,NA,291,FALSE,6,6,6,6,6,6,6,6,6,6,6,No,1,0,0,0,0,1
ZFpYWbGNVp6TI-74sUZygjCYmFQJafG3XZpdWRKALBj0w8vkyhAXK6dA8gJXb3oR,2018-11-29T15:46:51Z,2018-11-29T15:51:54Z,2018-11-29T15:51:54Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,18,female,Otto-Friedrich-Universität Bamberg,NA,No,NA,NA,"2, 3, 5, 6, 8",no,NA,4,4,2,SPSS,Not Sure,Yes,1,NA,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA
qrN5NY6nPqV5hoO2lfZBAMyLJH4yalDbV1G5x520ZTdqOaP2p2Y9F-SKZfWUahpI,2018-11-29T15:55:53Z,2018-11-29T16:01:09Z,2018-11-29T16:01:09Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,20,female,Otto-Friedrich-Universität Bamberg,NA,Yes,"1, 5",6,"1, 2, 3, 4, 8, 9",yes,"1, 14",3,5,4,SPSS,No,No,1,NA,293,FALSE,6,6,6,6,6,5,6,6,6,6,6,No,2,1,0,0,0,1
cVVS_R_ns4Q4-n3cRfI4xKEKAAI0-J5rYfhy_2JbRY7rZlyX7qNySv43FsxyxdJP,2018-11-29T15:59:37Z,2018-11-29T16:08:26Z,2018-11-29T16:08:26Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Other,Soziologie,5,21,female,Universität Bielefeld,NA,Yes,5,6,"1, 2, 3, 4, 7, 8",yes,6,3,4,2,"R,Stata,SPSS",No,No,1,NA,294,TRUE,6,NA,2,6,6,NA,6,6,6,6,2,No,1,0,0,0,0,1
GNde-oEdvq4GfUz-estEi8CG6B8nd-_riYGbKBkrXErTIBOY-OVwr-nMi7Ai3Fp4,2018-11-29T16:10:02Z,2018-11-29T16:24:45Z,2018-11-29T16:24:45Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,19,female,Otto-Friedrich-Universität Bamberg,NA,No,NA,NA,11,no,NA,2,4,1,SPSS,Not Sure,Not Sure,1,NA,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA
qin0fHmKf-qZAYFcIk0KWQBRwiCKXelGfrV37EIAzmZ7uEDj5OVvBaRDhjAU29VX,2018-11-29T16:14:39Z,2018-11-29T22:32:06Z,2018-11-29T22:32:07Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,male,Ruhr-Universität Bochum,NA,Yes,1,6,"1, 2, 3, 4, 5, 6, 7, 8, 9",yes,11,5,5,4,R,Not Sure,No,1,"Habe das Expra erst begonnen und bisher keine QRP angewandt und beabsichtige dies auch nicht. In meinem Hiwi-Job, bei dem es vor allem um Datenanalse geht, ist für mich nicht transparent, ob meine Vorgesetzten so einwandfrei vorgehen bezüglich der Forschungspraktiken. Es wirkt manchmal nicht so. Da ich aber nicht weiß, was sie zu welchem Paper und mit wenchen Hintergründen dann an Aufgaben an mich geben, kann ich nicht beurteilen, was und ob sie QRP an der ein oder anderen Stelle un/beabsichtigt benutzen.",296,FALSE,6,6,6,6,6,6,6,6,6,6,6,No,1,1,0,0,0,0
PXMqWe86QY3D-pJGsNyTU8niycWY1KZFXPzRGF0UE8mdlRvU933S2cE7scfxk3LC,2018-11-29T16:15:09Z,2018-12-03T16:16:07Z,2018-12-03T16:16:07Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,19,female,Ruhr-Universität Bochum,NA,Yes,1,6,"1, 3, 4, 6, 7, 8",yes,11,2,5,4,R,Not Sure,Yes,1,Nein.,297,TRUE,6,NA,6,1,6,6,6,6,6,6,6,No,1,1,0,0,0,0
Q3Y2X1wnu5RCJnFRYRZ0U_NoysbJ965sLUDa6hH-iNa_Fu-YiZ0VEXUCb-XMvqeL,2018-11-29T16:16:32Z,2018-11-29T16:20:19Z,2018-11-29T16:20:19Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,27,female,Ruhr-Universität Bochum,NA,No,NA,NA,"1, 2, 3, 4, 5, 6, 7, 8, 9",yes,11,3,5,4,R,Not Sure,No,1,NA,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA
MxoMdhxLwvp6Ls0UZgcPkIWjKr38SyKvd4Uz6X3DesbzM67pEE7ZQtuYHPwnSByC,2018-11-29T16:21:39Z,2018-11-29T16:27:01Z,2018-11-29T16:27:01Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Other,Pädagogik,7,24,female,Otto-Friedrich-Universität Bamberg,NA,Yes,3,6,"10, 11",no,NA,3,4,1,Statistica,No,No,1,NA,299,FALSE,6,6,6,3,6,6,3,6,6,6,6,No,1,0,0,1,0,0
AqLteLoJhXe7L36AImLYqIbf_cdA2HKGJ9HXVDS9N6jNbBx4euc26Yl-IJU8yNCH,2018-11-29T16:22:58Z,2018-11-29T16:26:59Z,2018-11-29T16:26:59Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,20,female,Universität Bielefeld,NA,No,NA,NA,"1, 2, 3, 4, 7",yes,"1, 11, 14",3,4,2,R,No,No,1,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA
0FQwZHMTM-eq51Rs7HWgbcp7UaYnofjuVDiy7-bEjavtstJjH_I8FnQJeCxuYSOK,2018-11-29T16:32:14Z,2018-11-29T19:05:46Z,2018-11-29T19:05:46Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,female,Ruhr-Universität Bochum,NA,No,NA,NA,"1, 2, 3, 4, 5, 6, 7, 8",yes,11,4,5,4,R,No,No,1,NA,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA
Ui4mHZntUywA634bUDZxTNb3-1MSOYSMBe3u2lQZ47N0xN3qG9qCTDBBgGx7FW46,2018-11-29T17:36:29Z,2018-11-29T17:39:33Z,2018-11-29T17:39:33Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,19,female,Ruhr-Universität Bochum,NA,Yes,1,6,11,yes,"7, 11",4,5,4,"R,SPSS",Not Sure,Yes,1,NA,302,FALSE,1,6,1,1,6,6,6,6,6,6,6,No,1,1,0,0,0,0
gssYJe-MQlxRogab67QY8qOi8Kq-6UZCowUn7qy_0bdn3qw2UXay3nee-x9VgVLd,2018-11-29T18:19:02Z,2018-11-29T18:24:22Z,2018-11-29T18:24:22Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,26,female,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,Yes,"1, 3, 5","1, 5","1, 2, 3, 4, 5, 6, 7, 8, 9",yes,"1, 2, 11, 14",4,5,3,SPSS,No,No,1,NA,303,FALSE,5,"1, 3, 5",6,6,5,1,"1, 3",6,6,6,6,No,3,1,0,1,0,1
0PziswV-CStV-MuOPHEHZiPA36ux4kb5IeIABLYK0fMJf5lr0sCLZphBkObpH7b9,2018-11-29T18:35:28Z,2018-11-29T18:45:40Z,2018-11-29T18:45:40Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,43,female,Ruhr-Universität Bochum,NA,Yes,1,6,"1, 2, 3, 4, 5, 6, 7, 8, 9",yes,11,4,5,5,R,Yes,Yes,1,NA,304,FALSE,6,6,6,1,6,6,6,6,6,6,6,No,1,1,0,0,0,0
H5sU7ho1GAKK-6aBqlKVON2BnyL5BHxfBZhNHVYFq4j_MQH4uua9JLGp0ffIvF0I,2018-11-29T18:46:37Z,2018-12-01T14:02:15Z,2018-12-01T14:02:15Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,22,male,Universität Koblenz-Landau,Universität Koblenz-Landau,Yes,"1, 3",6,"1, 2, 3, 4, 6, 7, 8, 9",yes,"4, 11",4,5,4,R,Yes,Yes,1,NA,305,FALSE,"1, 3",6,1,1,6,6,6,6,6,6,6,Yes,2,1,0,1,0,0
BOpAl4HLSINWh5DTGf0tdVJVF17fz7BjGOKXbNm1AEACepy5jjQRsP19l7roXwT5,2018-11-29T19:03:51Z,2018-11-29T19:06:34Z,2018-11-29T19:06:34Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,20,female,Ruhr-Universität Bochum,NA,No,NA,NA,8,no,NA,3,5,2,"R,Excel",No,No,1,NA,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA
cEUwg9EXSkSPuokt3_5zCxb7FVfCoJYhYfG3mjXQQwjBdM3irXNg_5PEQ6FXGk-n,2018-11-29T19:07:54Z,2018-11-29T19:31:54Z,2018-11-29T19:31:54Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,34,male,Universität Hildesheim,NA,Yes,1,6,3,yes,"6, 7, 11, 14",3,5,2,SPSS,No,No,1,NA,307,FALSE,6,6,6,2,6,6,6,6,6,6,6,No,1,1,0,0,0,0
Dl3c0whL4E04xucXgfY9_RYc7is2gT8mYoa6uhrtAPLBPXHlPCzsqr1VIy0i_28E,2018-11-29T20:08:30Z,2018-11-29T20:16:53Z,2018-11-29T20:16:53Z,NA,1,Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,female,Ruhr-Universität Bochum,NA,Yes,1,6,"1, 2, 3, 4, 5, 6, 7, 8, 9",yes,11,5,5,3,R,No,No,1,NA,308,FALSE,6,6,6,6,6,6,6,6,6,6,6,No,1,1,0,0,0,0
wypocvnSXa3ypbWwHSicd5y6Budzv1UDBEWrLjDG2-VbpIE-q8rLivp6UrtOPr5f,2018-11-29T21:27:15Z,2018-12-01T23:38:19Z,2018-12-01T23:38:19Z,NA,1,I don't study (any more),1,B.Sc.,1,Psychology,NA,NA,NA,NA,NA,23,female,Universität Regensburg,Universität Regensburg,Yes,"1, 2, 3",1,"1, 2, 4, 5, 6, 7, 8",yes,"4, 11, 12",3,5,3,SPSS,Not Sure,No,1,NA,309,FALSE,6,"1, 2, 3","1, 2, 3",6,1,6,6,6,6,6,6,No,3,1,1,1,0,0
asR9p98yMp9foOGF9ly1hPY4BREQf9TCOrumNWF7N7fwsYgp3zsjFhyTsI35ktZs,2018-11-29T22:53:53Z,2018-11-29T23:10:20Z,2018-11-29T23:10:20Z,NA,1,Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,23,female,Otto-Friedrich-Universität Bamberg,NA,Yes,"1, 3",1,"1, 5",yes,9,5,5,3,R,No,No,1,NA,310,FALSE,6,1,6,6,6,6,6,6,6,6,6,No,2,1,0,1,0,0
