age,sex,semester,study_stage_mc,study_stage_open,uni_bachelor,uni_current,study_degree,study_degree_field,study_degree_year,study_degree_yesno,comments,exp_specific
25,male,5,Master,NA,Universität Osnabrück,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 2, 3, 4, 5"
26,male,5,Master,NA,Universität Osnabrück,Georg-August-Universität Göttingen,NA,NA,NA,NA,Sehr gute Umfrage! Übersichtlich und transparent.,"1, 2, 3, 4"
27,male,7,Master,NA,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 3, 4"
24,female,7,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,1
18,female,1,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,NA
42,male,3,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,1
25,female,NA,I don't study (any more),NA,Johannes Gutenberg-Universität Mainz,Johannes Gutenberg-Universität Mainz,B.Sc.,Psychology,1,1,NA,1
21,female,3,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,1
20,female,3,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,1
24,male,7,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,Hildesheim gründet bald eine Open Science Initiative!,NA
23,female,1,Master,NA,Universität Hildesheim,Albert-Ludwigs-Universität Freiburg,NA,NA,NA,NA,NA,"1, 3"
19,female,3,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,"1, 2"
26,female,NA,I don't study (any more),NA,Universität Hildesheim,Universität Hildesheim,M.A.,Other,1,1,NA,"2, 3, 4"
21,female,6,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,female,7,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,"1, 3, 5"
21,male,3,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,"1, 2"
19,female,3,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,"Dadurch, dass auch nicht abgeschlossene Studien in die Umfrage mit einfließen, sind die ""Habe ich nicht gemacht""-Angaben schwer zu interpretieren, weil ich es vielleicht einfach nicht gemacht habe, weil ich nicht so weit bin mit der Studie",2
20,female,3,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,"1, 2, 5"
21,female,3,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,"1, 2"
30,female,7,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,"1, 2, 3, 4, 5"
21,female,1,Master,NA,Ruhr-Universität Bochum,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,"1, 3"
24,female,1,Master,NA,Universität Hildesheim,Universität Hildesheim,NA,NA,NA,NA,NA,"1, 2, 3"
24,female,1,Master,NA,Universität Hildesheim,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 3"
20,female,1,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,female,5,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,NA
31,male,NA,I don't study (any more),NA,NA,NA,B.A.,Other,1,1,NA,"2, 5"
22,female,1,Master,NA,Universität Hildesheim,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,"1, 3, 5"
23,female,1,Master,NA,Universität Hildesheim,Universität Hildesheim,NA,NA,NA,NA,NA,"1, 3, 5"
18,female,3,Bachelor,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,2
21,female,1,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,"Einige meiner Angaben beziehen sich 
auf mein erstes Studium und nicht auf die Universität, an der ich momentan studiere. 

Meine Bachelorarbeit des ersten Studiums habe ich an der Tierärztlichen Hochschule Hannover geschrieben und den B. Sc. Biologie der Leibniz Universität Hannover abgeschlossen. 

Zur Statistiksoftware konnte ich keine genauen Angaben machen, da keine Auswahl nicht möglich war. Ich weiß nicht, mit welchem Programm an meiner jetzigen Uni gearbeitet wird.",3
24,female,1,Master,NA,Universität Hildesheim,Universität Hildesheim,NA,NA,NA,NA,NA,1
23,female,1,Master,NA,Ruhr-Universität Bochum,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,"1, 2, 3"
22,male,7,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,"1, 5"
19,female,1,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,NA
22,female,5,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,1
26,female,3,Master,NA,Universität Osnabrück,Universität zu Köln,NA,NA,NA,NA,NA,"1, 2, 3"
18,female,1,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,NA
25,male,NA,I don't study (any more),NA,NA,Ruhr-Universität Bochum,M.Sc.,Psychology,2,1,NA,"1, 2, 3, 4, 5"
20,female,3,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,NA
21,female,3,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,1
22,female,3,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,NA
20,female,1,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,NA
22,female,7,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,"1, 3"
19,female,3,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,Eine Open science Bewegung soll an unserer Uni sehr bald gestartet werden :),2
23,female,2,Master,NA,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,1
22,female,5,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,5
22,male,7,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,"1, 3, 5"
22,female,3,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,NA
20,female,5,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,1
24,female,NA,I don't study (any more),NA,NA,Julius-Maximilians-Universität Würzburg,M.Sc.,Psychology,1,1,NA,"1, 2, 3, 4"
20,female,1,Bachelor,NA,NA,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,NA
19,female,3,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,2
20,female,1,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,NA
18,female,1,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,NA
18,female,1,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,NA
21,female,3,Bachelor,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,1
18,male,1,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,NA
21,male,7,Bachelor,NA,NA,NA,NA,NA,NA,NA,Wissenschaftlich Arbeit im Bereich Cognitive Science weicht an vielen Stellen von der klassischen Psychologischen Arbeit ab und ist schwer mit diesem Fragebogen ordentlich abzugrenzen. Vielleicht könnten einzelne Fragen irreführend beantwortet sein. Jedenfalls war es mir wichtig zu berichten dass es an der TU Darmstadt starke Bemühungen gibt neuere Methodologie wie vor allem Bayesianische Statistik anzuwenden.,"1, 3"
26,female,4,Master,NA,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,"Wirkluch gute und sogar auch informative Umfrage!
Danke für eure Initiative!","1, 2"
24,female,5,Master,NA,Universität Hildesheim,Universität Hildesheim,NA,NA,NA,NA,Küsschen an Johannes,"1, 2, 3, 4, 5"
23,female,3,Master,NA,Universität Hildesheim,Universität Hildesheim,NA,NA,NA,NA,NA,"1, 3"
19,female,1,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,NA
22,female,7,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,"Es wird gerade eine Open Science-Initiative an meiner Uni gegründet bzw. ist es der Plan eine zu gründen, aber noch besteht sie nicht. 
Auf der PsyFako Hildesheim gab es Infoveranstaltungen zu Open Science, wenn das als Veranstaltung von meiner Universität gilt, dann muss mein Nein bei der dritten Frage zu einem Ja geändert werden.","2, 3, 5"
24,male,3,Master,NA,Universität Osnabrück,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,"1, 3, 5"
20,male,3,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,1
19,male,1,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,5
18,female,1,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,NA
20,female,5,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,"1, 5"
21,female,5,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,5
19,female,1,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,NA
20,male,3,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,"Habe das Expra erst begonnen und bisher keine QRP angewandt und beabsichtige dies auch nicht. In meinem Hiwi-Job, bei dem es vor allem um Datenanalse geht, ist für mich nicht transparent, ob meine Vorgesetzten so einwandfrei vorgehen bezüglich der Forschungspraktiken. Es wirkt manchmal nicht so. Da ich aber nicht weiß, was sie zu welchem Paper und mit wenchen Hintergründen dann an Aufgaben an mich geben, kann ich nicht beurteilen, was und ob sie QRP an der ein oder anderen Stelle un/beabsichtigt benutzen.",1
19,female,3,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,Nein.,1
27,female,3,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,NA
24,female,7,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,3
20,female,1,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,NA
20,female,3,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,NA
19,female,3,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,1
26,female,3,Master,NA,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,"1, 3, 5"
43,female,5,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,1
22,male,1,Master,NA,Universität Koblenz-Landau,Universität Koblenz-Landau,NA,NA,NA,NA,NA,"1, 3"
20,female,1,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,NA
34,male,3,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,1
20,female,3,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,1
23,female,NA,I don't study (any more),NA,Universität Regensburg,Universität Regensburg,B.Sc.,Psychology,1,1,NA,"1, 2, 3"
23,female,1,Master,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,"1, 3"
27,female,11,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,"2, 5"
19,female,1,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,"Bin gerade im Forschungspraktikum, wir führen jetzt eine Studie durch daher habe ich noch nie Datenauswertung gemacht",2
21,female,3,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,1
22,female,2,Bachelor,NA,NA,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,NA,NA
20,female,3,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,NA
22,female,5,Bachelor,NA,NA,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,1
20,female,5,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,1
20,female,3,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,1
22,female,3,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,1
22,male,3,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,1
20,female,3,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,1
25,female,2,Master,NA,Otto-Friedrich-Universität Bamberg,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,"1, 3"
19,female,3,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,"1, 5"
22,female,3,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,"Soweit mir bekannt ist gibt es zur Zeit nur ein Seminar, dass dieses Thema konkret thematisiert (in dem ich zufällig bin). Ansonsten wurde es nur kurz in der VL Sozialpsychologie angesprochen. 
Wer das Seminar nicht belegt, wird zumindest über die Vorlesungen meiner Meinung nach nicht gut informiert.",1
24,female,3,Master,NA,Albert-Ludwigs-Universität Freiburg,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 3, 4"
21,female,5,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,"1, 2, 3"
21,female,3,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,2
23,male,2,Master,NA,Universität Regensburg,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,NA,"1, 2, 3, 5"
20,female,3,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,1
23,male,7,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 3"
24,female,3,Master,NA,Universität Osnabrück,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 3, 4"
25,male,5,Master,NA,Universität Osnabrück,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 3, 4"
30,male,2,Master,NA,Universität Regensburg,NA,NA,NA,NA,NA,NA,"1, 2, 3, 5"
26,male,1,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,NA
30,male,5,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,1
21,female,1,Master,NA,Universität Hamburg,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 3"
25,female,5,Master,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2, 3, 4"
21,female,5,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,"1, 2, 3"
24,female,1,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,2
22,female,1,Master,NA,Justus-Liebig-Universität Gießen,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,"1, 2, 3, 5"
30,male,3,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,"Ich studiere Psychologie als Zweitstudium und habe vorher schon einen Master of Arts Abschluss in einem anderen Fach erworben. Meine Antworten bezogen sich größtenteils auf das aktuelle Bachelor Psychologie Studium, bis auf diejenigen , wo konkret nach Studienphasen gefragt worden ist.","1, 2, 3, 4"
23,female,3,Master,NA,Justus-Liebig-Universität Gießen,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,"1, 2, 3, 4, 5"
21,female,5,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,"1, 2"
25,female,3,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,1
23,female,3,Master,NA,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,"1, 2, 3"
24,female,3,Master,NA,Universität Osnabrück,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 3, 5"
20,female,1,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,NA
19,female,1,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,NA
23,female,3,Master,NA,Universität Osnabrück,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 2, 3, 5"
25,female,5,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,"1, 2"
22,female,6,Bachelor,NA,NA,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,1
21,female,5,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,"1, 2, 3"
18,female,1,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,NA
23,female,3,Master,NA,Albert-Ludwigs-Universität Freiburg,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,"1, 2, 3, 4"
32,male,1,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,NA
19,female,3,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,1
21,female,1,Bachelor,NA,NA,Universität zu Köln,NA,NA,NA,NA,NA,NA
21,female,5,Bachelor,NA,NA,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,1
24,female,4,Master,NA,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,"1, 2, 3, 4"
21,female,5,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,1
20,male,5,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 3, 5"
20,no answer,1,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,NA
23,female,1,Master,NA,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,"1, 3, 5"
21,female,5,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,1
19,female,1,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,male,5,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 2, 3, 5"
24,female,5,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 3"
23,female,1,Master,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,"1, 2, 3, 5"
25,male,1,Master,NA,Universität Hildesheim,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,"1, 3"
23,male,1,Master,NA,Westfälische Wilhelms-Universität Münster,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 2, 3, 5"
28,male,3,Master,NA,Universität zu Köln,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 3"
22,female,1,Master,NA,Ruhr-Universität Bochum,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 3, 5"
33,male,1,Master,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 2, 3"
21,female,3,Bachelor,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,1
23,female,1,Master,NA,Georg-August-Universität Göttingen,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 2, 3"
23,female,8,Master,NA,Otto-Friedrich-Universität Bamberg,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,"Bei der einen Frage nach Stichprobenerhebung ohne Plan hatte ich das ohne überlesen und erst beim weiterklicken gemerkt. Konnte leider nicht zurück.
Zudem war das selektive Berichten von Variablen, Ergebnisse etc. (waren viele Fragen dazu) nicht aufgrund von Signifikanzen, sondern da wir z.B. zu zweit an einem Thema geschrieben haben und damit jeder einen Teil der Variablen berichtet hat oder aus Platzgründen auf einem Poster nicht alle Variablen draufgepasst haben. Wurden aber alles inhaltlich und nicht aufgrund von Signifikanzen entschieden. Finde die Items und die Erklärung dazu teilweise nicht immer passend. Wie gesagt ja wir haben selektiert, aber aus inhaltlichen Gründen.","1, 3, 5"
26,female,3,Bachelor,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,1
28,male,3,Bachelor,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,1
37,male,11,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 3, 5"
21,female,5,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,1
21,female,3,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,female,3,Master,NA,Universität Hamburg,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 2, 3, 4"
27,female,1,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,NA
24,female,1,Master,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 2"
21,female,7,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 3"
24,female,3,Master,NA,NA,Universität Osnabrück,NA,NA,NA,NA,Soziale Erwünschtheit?,"1, 2, 3, 5"
27,no answer,3,Bachelor,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 2"
24,female,7,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 3"
25,male,3,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,female,1,Master,NA,Albert-Ludwigs-Universität Freiburg,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 3"
20,female,3,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,female,5,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,1
28,male,1,Master,NA,Westfälische Wilhelms-Universität Münster,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 3"
19,female,1,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,NA
19,female,5,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,"1, 2, 5"
25,female,5,Master,NA,Universität Osnabrück,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 2, 3, 4"
22,female,1,Master,NA,Rheinische Friedrich-Wilhelms-Universität Bonn,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 3"
25,female,2,Bachelor,NA,NA,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,NA
23,male,7,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 3"
22,female,5,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,1
24,female,5,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,1
25,male,NA,I don't study (any more),NA,Justus-Liebig-Universität Gießen,Justus-Liebig-Universität Gießen,B.Sc.,Psychology,1,1,NA,"1, 3"
23,female,1,Master,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 2, 3"
20,female,3,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,1
21,female,5,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,1
23,female,6,Master,NA,Universität Koblenz-Landau,Universität Koblenz-Landau,NA,NA,NA,NA,"Die Replikationskrise wurde zum Großteil erst besprochen, als ich mein Studium fast beendet habe. Allerdings haben wir Methoden, die dies vermeiden, schon vorher gelernt.","1, 2, 3, 4, 5"
24,female,1,Master,NA,Westfälische Wilhelms-Universität Münster,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"2, 3"
23,male,NA,I don't study (any more),NA,NA,NA,M.Sc.,Psychology,1,1,NA,"1, 2, 3, 4, 5"
22,female,3,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,In verschiedenen Empras werden unterschiedliche Ansprüche an die Methoden gestellt,1
21,female,5,Bachelor,NA,NA,Universität Koblenz-Landau,NA,NA,NA,NA,NA,"1, 2"
30,female,7,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 3"
20,female,1,Bachelor,NA,NA,Universität Koblenz-Landau,NA,NA,NA,NA,"Ich konnte leider einige Fragen nur mit ""ich weiß es nicht"" beantworten, da ich erst im ersten Semester studiere.",NA
22,female,3,Master,NA,Universität Hildesheim,Universität Hildesheim,NA,NA,NA,NA,NA,"1, 2, 3"
22,female,1,Master,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 2, 3"
20,female,1,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,NA
21,male,5,Bachelor,NA,NA,Universität Koblenz-Landau,NA,NA,NA,NA,NA,1
20,female,3,Bachelor,NA,NA,Universität Koblenz-Landau,NA,NA,NA,NA,NA,1
21,female,5,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,1
20,female,1,Bachelor,NA,NA,Universität Koblenz-Landau,NA,NA,NA,NA,NA,NA
21,female,3,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,1
26,female,5,Bachelor,NA,NA,Universität Koblenz-Landau,NA,NA,NA,NA,NA,"1, 3"
19,female,3,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,1
22,female,3,Bachelor,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 2"
21,female,3,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,"Ich besuche ein sehr informatives Seminar zum Thema Replikationskrise. Studenten, die dieses Seminar nicht besuchen sind wahrscheinlich auch bei uns an der Universität schlechter informiert.",1
18,female,1,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,NA
23,female,1,Master,NA,Universität Regensburg,Universität Regensburg,NA,NA,NA,NA,NA,"1, 3"
22,female,1,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,"2, 3, 5"
21,female,7,Bachelor,NA,NA,Universität Koblenz-Landau,NA,NA,NA,NA,NA,"1, 2, 5"
20,female,1,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,NA
21,female,3,Bachelor,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,1
30,female,3,Bachelor,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,NA
21,female,3,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,2
22,female,1,Master,NA,Universität Koblenz-Landau,Universität Koblenz-Landau,NA,NA,NA,NA,NA,1
20,male,5,Bachelor,NA,NA,Universität Koblenz-Landau,NA,NA,NA,NA,NA,1
23,male,5,Master,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2, 3, 4, 5"
19,male,3,Bachelor,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,1
21,female,5,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2, 3"
